user_id,file_size,destination,file_path,database_name,access_level,system_name,department_name,software_name,tool_name,device_id,command_used,file_count,target_directory,timestamp,alteration_time,label
user1,1048576,internal_server,/home/user1/docs/report.docx,hr_db,privilege_1,legacy_system_1,HR,office_suite.msi,,device_1,cmd.exe,8,/home/user1/docs,2024-10-01T09:00:00,2024-10-01T09:05:00,normal
user2,2097152,internal_server,/home/user2/shared/budget.xlsx,finance_db,privilege_1,legacy_system_2,Finance,antivirus_update.exe,,device_1,cmd.exe,12,/home/user2/shared,2024-10-01T09:10:00,2024-10-01T09:15:00,normal
user3,3145728,internal_server,/home/user3/projects/spec.pdf,engineering_db,privilege_2,legacy_system_1,IT,office_suite.msi,wireshark,device_2,powershell.exe,15,/home/user3/projects,2024-10-01T10:00:00,2024-10-01T10:05:00,normal
user4,5242880,internal_server,/home/user4/docs/notes.txt,marketing_db,privilege_2,legacy_system_3,Marketing,office_suite.msi,,device_2,cmd.exe,18,/home/user4/docs,2024-10-01T10:10:00,2024-10-01T10:15:00,normal
user1,7340032,internal_server,/home/user1/downloads/tool.exe,hr_db,privilege_1,legacy_system_1,HR,office_suite.msi,,device_1,powershell.exe,10,/home/user1/downloads,2024-10-02T09:00:00,2024-10-02T09:05:00,normal
user2,9437184,internal_server,/home/user2/docs/policy.docx,finance_db,privilege_1,legacy_system_2,Finance,antivirus_update.exe,,device_1,cmd.exe,20,/home/user2/docs,2024-10-02T09:10:00,2024-10-02T09:15:00,normal
user3,11534336,internal_server,/home/user3/projects/design.pdf,engineering_db,privilege_2,legacy_system_1,IT,office_suite.msi,,device_2,cmd.exe,22,/home/user3/projects,2024-10-02T10:00:00,2024-10-02T10:05:00,normal
user4,13631488,internal_server,/home/user4/docs/summary.docx,marketing_db,privilege_2,legacy_system_3,Marketing,office_suite.msi,,device_2,powershell.exe,25,/home/user4/docs,2024-10-02T10:10:00,2024-10-02T10:15:00,normal
user5,1610612736,cloud_storage,/home/user5/temp/raw_dump.bin,payroll_db,privilege_4,legacy_system_4,Finance,malicious_tool.exe,metasploit,device_3,powershell.exe,320,/home/user5/temp,2030-01-01T23:50:00,2030-01-01T23:55:00,anomalous
user5,1879048192,cloud_storage,/home/user5/temp/db_export.sql,payroll_db,privilege_5,legacy_system_4,Executive,unauthorized_app.msi,nmap,device_3,powershell.exe,480,/home/user5/temp,2030-01-01T23:52:00,2030-01-01T23:57:00,anomalous
user5,2013265920,external_drive,/mnt/usb/user5/secret_archive.zip,payroll_db,privilege_5,legacy_system_4,Executive,hack_tool.py,metasploit,device_3,bash,520,/mnt/usb/user5,2030-01-02T00:02:00,2030-01-02T00:10:00,anomalous
user5,2147483648,cloud_storage,/home/user5/temp/backup_full.img,payroll_db,privilege_5,legacy_system_4,Executive,malicious_tool.exe,nmap,device_3,powershell.exe,610,/home/user5/temp,2030-01-02T00:04:00,2030-01-02T00:12:00,anomalous
